Time (ns),Distance (Å)
6.240,4.121
6.250,4.324
6.260,4.136
6.270,4.435
6.280,4.289
6.290,3.944
6.300,3.874
6.310,4.040
6.320,4.350
6.330,3.803
6.340,4.188
6.350,3.730
6.360,4.068
6.370,4.290
6.380,4.752
6.390,4.605
6.400,4.308
6.410,4.217
6.420,4.450
6.430,4.112
6.440,4.262
6.450,4.581
6.460,4.602
6.470,4.365
6.480,4.245
6.490,4.050
6.500,4.662
6.510,4.193
6.520,4.209
6.530,3.999
6.540,4.593
6.550,4.405
6.560,4.119
6.570,3.579
6.580,3.989
6.590,4.276
6.600,3.937
6.610,4.310
6.620,3.935
6.630,3.969
6.640,4.031
6.650,3.974
6.660,3.466
6.670,4.223
6.680,4.208
6.690,4.400
6.700,4.169
6.710,3.882
6.720,4.058
6.730,3.801
6.740,4.216
6.750,4.596
6.760,3.480
6.770,4.436
6.780,4.178
6.790,4.428
6.800,4.040
6.810,4.004
6.820,4.033
6.830,3.689
6.840,3.744
6.850,3.770
6.860,4.056
6.870,4.270
6.880,3.876
6.890,3.456
6.900,3.545
6.910,4.167
6.920,4.421
6.930,4.488
6.940,3.971
6.950,3.815
6.960,4.104
6.970,4.419
6.980,3.803
6.990,5.098
7.000,3.989
7.010,4.211
7.020,4.925
7.030,4.658
7.040,4.177
7.050,4.592
7.060,4.541
7.070,3.981
7.080,4.471
7.090,4.171
7.100,4.225
7.110,4.275
7.120,4.173
7.130,4.373
7.140,4.206
7.150,3.825
7.160,4.345
7.170,4.065
7.180,4.130
7.190,4.242
7.200,4.166
7.210,3.940
7.220,4.020
7.230,3.733
7.240,3.565
7.250,4.109
7.260,4.391
7.270,4.391
7.280,4.115
7.290,4.355
7.300,4.255
7.310,4.487
7.320,4.414
7.330,4.375
7.340,4.195
7.350,4.057
7.360,4.299
7.370,4.831
7.380,4.217
7.390,3.913
7.400,3.727
7.410,4.330
7.420,3.775
7.430,3.778
7.440,4.402
7.450,4.571
7.460,4.204
7.470,4.490
7.480,3.413
7.490,3.990
7.500,4.119
7.510,4.222
7.520,3.935
7.530,3.896
7.540,4.276
7.550,3.713
7.560,4.092
7.570,4.147
7.580,4.035
7.590,4.187
7.600,4.338
7.610,4.378
7.620,4.242
7.630,4.261
7.640,4.371
7.650,3.940
7.660,3.771
7.670,4.467
7.680,3.865
7.690,3.842
7.700,4.051
7.710,3.907
7.720,4.144
7.730,3.676
7.740,4.464
7.750,4.285
7.760,4.105
7.770,3.738
7.780,4.016
7.790,3.974
7.800,4.004
7.810,4.476
7.820,3.968
7.830,4.319
7.840,4.338
7.850,4.023
7.860,3.997
7.870,4.045
7.880,3.827
7.890,3.894
7.900,4.028
7.910,4.114
7.920,3.988
7.930,4.445
7.940,3.727
7.950,4.314
7.960,3.959
7.970,4.046
7.980,3.819
7.990,4.092
8.000,4.180
8.010,3.917
8.020,4.115
8.030,3.899
8.040,4.231
8.050,3.930
8.060,4.149
8.070,3.707
8.080,4.685
8.090,4.543
8.100,3.655
8.110,3.799
8.120,4.252
8.130,4.004
8.140,4.139
8.150,4.473
8.160,4.147
8.170,3.924
8.180,4.281
8.190,4.327
8.200,3.968
8.210,3.597
8.220,3.903
8.230,4.243
8.240,4.110
8.250,4.373
8.260,3.964
8.270,3.549
8.280,4.304
8.290,4.185
8.300,3.670
8.310,4.456
8.320,3.733
8.330,4.031
8.340,3.947
8.350,3.997
8.360,3.515
8.370,4.698
8.380,4.021
8.390,4.160
8.400,3.452
8.410,3.891
8.420,4.059
8.430,3.347
8.440,4.115
8.450,4.212
8.460,4.262
8.470,4.998
8.480,4.265
8.490,4.359
8.500,4.463
8.510,4.064
8.520,4.262
8.530,4.497
8.540,4.263
8.550,4.238
8.560,4.515
8.570,4.583
8.580,4.255
8.590,4.257
8.600,4.685
8.610,4.636
8.620,4.261
8.630,4.413
8.640,4.644
8.650,4.735
8.660,4.496
8.670,4.421
8.680,4.475
8.690,4.757
8.700,4.523
8.710,4.120
8.720,4.518
8.730,4.443
8.740,4.174
8.750,4.757
8.760,4.446
8.770,4.850
8.780,4.495
8.790,4.745
8.800,4.378
8.810,4.158
8.820,4.764
8.830,4.340
8.840,4.063
8.850,4.557
8.860,4.159
8.870,4.205
8.880,4.295
8.890,4.322
8.900,4.499
8.910,4.130
8.920,4.742
8.930,4.012
8.940,4.616
8.950,4.009
8.960,4.445
8.970,4.211
8.980,4.218
8.990,4.010
9.000,4.508
9.010,4.439
9.020,4.598
9.030,4.505
9.040,4.392
9.050,4.701
9.060,4.310
9.070,4.077
9.080,4.219
9.090,4.066
9.100,4.713
9.110,4.402
9.120,4.638
9.130,4.302
9.140,4.450
9.150,4.909
9.160,4.576
9.170,4.312
9.180,4.410
9.190,4.571
9.200,5.174
9.210,4.441
9.220,4.063
9.230,4.791
9.240,4.463
9.250,3.884
9.260,4.080
9.270,4.422
9.280,4.164
9.290,4.371
9.300,4.616
9.310,4.104
9.320,4.072
9.330,3.956
9.340,4.410
9.350,3.888
9.360,4.420
9.370,3.890
9.380,4.622
9.390,4.555
9.400,4.252
9.410,4.607
9.420,4.576
9.430,4.491
9.440,4.762
9.450,4.503
9.460,4.391
9.470,4.480
9.480,4.417
9.490,4.413
9.500,4.428
9.510,4.436
9.520,4.158
9.530,4.709
9.540,4.484
9.550,4.825
9.560,4.704
9.570,4.033
9.580,4.625
9.590,4.287
9.600,4.110
9.610,4.589
9.620,4.266
9.630,4.047
9.640,4.492
9.650,4.506
9.660,3.940
9.670,4.692
9.680,4.331
9.690,4.333
9.700,4.325
9.710,4.392
9.720,3.782
9.730,3.943
9.740,3.522
9.750,4.557
9.760,3.949
9.770,3.940
9.780,4.377
9.790,4.420
9.800,4.458
9.810,4.347
9.820,4.333
9.830,3.997
9.840,3.974
9.850,4.030
9.860,3.958
9.870,4.024
9.880,4.368
9.890,4.233
9.900,4.226
9.910,4.364
9.920,4.352
9.930,4.513
9.940,4.247
9.950,4.361
9.960,4.626
9.970,4.285
9.980,4.151
9.990,4.222
10.000,4.764
10.010,4.534
10.020,4.220
10.030,4.291
10.040,4.750
10.050,4.427
10.060,3.955
10.070,4.182
10.080,4.432
10.090,4.207
10.100,4.444
10.110,4.464
10.120,4.398
10.130,3.719
10.140,4.599
10.150,4.847
10.160,4.326
10.170,4.250
10.180,4.171
10.190,4.210
10.200,4.061
10.210,4.381
10.220,4.579
10.230,4.022
10.240,4.533
10.250,4.796
10.260,4.150
10.270,4.295
10.280,4.530
10.290,4.125
10.300,4.225
10.310,4.059
10.320,4.215
10.330,3.991
10.340,4.170
10.350,3.935
10.360,4.218
10.370,4.512
10.380,4.505
10.390,4.025
10.400,3.927
10.410,4.073
10.420,4.389
10.430,3.989
10.440,3.715
10.450,3.797
10.460,4.192
10.470,4.249
10.480,4.124
10.490,4.051
10.500,4.109
10.510,3.835
10.520,4.221
10.530,4.525
10.540,3.979
10.550,4.213
10.560,3.937
10.570,3.791
10.580,4.275
10.590,3.978
10.600,4.320
10.610,4.594
10.620,4.251
10.630,4.301
10.640,3.856
10.650,4.408
10.660,3.709
10.670,4.645
10.680,4.209
10.690,4.473
10.700,3.856
10.710,4.248
10.720,4.033
10.730,4.040
10.740,4.417
10.750,3.932
10.760,3.832
10.770,3.937
10.780,4.041
10.790,3.798
10.800,3.846
10.810,4.710
10.820,4.226
10.830,3.902
10.840,3.982
10.850,3.727
10.860,3.957
10.870,3.850
10.880,4.040
10.890,3.786
10.900,3.976
10.910,4.703
10.920,4.273
10.930,4.592
10.940,4.006
10.950,4.037
10.960,4.251
10.970,4.056
10.980,4.058
10.990,4.571
11.000,4.135
11.010,3.792
11.020,4.421
11.030,4.199
11.040,3.963
11.050,4.542
11.060,4.264
11.070,4.089
11.080,4.239
11.090,4.282
11.100,4.085
11.110,3.567
11.120,4.017
11.130,3.467
11.140,4.297
11.150,4.069
11.160,4.030
11.170,3.765
11.180,4.389
11.190,3.772
11.200,4.140
11.210,3.978
11.220,4.191
11.230,4.478
11.240,4.214
11.250,3.396
11.260,4.007
11.270,4.144
11.280,4.266
11.290,4.208
11.300,3.589
11.310,4.451
11.320,4.257
11.330,4.021
11.340,4.240
11.350,3.755
11.360,4.145
11.370,4.287
11.380,4.138
11.390,3.846
11.400,3.818
11.410,4.259
11.420,4.204
11.430,4.288
11.440,4.464
11.450,4.078
11.460,4.493
11.470,4.143
11.480,4.460
11.490,3.948
11.500,5.035
11.510,3.936
11.520,4.113
11.530,4.385
11.540,4.592
11.550,4.031
11.560,4.308
11.570,4.031
11.580,4.427
11.590,4.707
11.600,4.594
11.610,4.422
11.620,4.300
11.630,3.980
11.640,4.166
11.650,4.620
11.660,4.346
11.670,4.481
11.680,4.594
11.690,4.350
11.700,4.107
11.710,4.546
11.720,4.319
11.730,4.339
11.740,4.065
11.750,3.685
11.760,4.510
11.770,4.179
11.780,4.190
11.790,4.664
11.800,4.685
11.810,4.346
11.820,4.184
11.830,4.239
11.840,4.520
11.850,3.969
11.860,3.837
11.870,4.341
11.880,4.266
11.890,4.260
11.900,4.406
11.910,4.404
11.920,4.802
11.930,4.553
11.940,4.360
11.950,4.735
11.960,4.543
11.970,4.262
11.980,4.392
11.990,4.291
12.000,4.264
12.010,4.305
12.020,4.126
12.030,4.251
12.040,3.986
12.050,4.540
12.060,3.799
12.070,4.054
12.080,4.065
12.090,4.389
12.100,3.964
12.110,4.232
12.120,4.419
12.130,4.201
12.140,4.013
12.150,4.718
12.160,4.758
12.170,4.627
12.180,3.982
12.190,4.278
12.200,4.632
12.210,4.322
12.220,4.709
12.230,4.936
12.240,4.636
12.250,4.596
12.260,4.471
12.270,4.316
12.280,4.300
12.290,4.474
12.300,4.165
12.310,4.439
12.320,4.485
12.330,4.686
12.340,4.889
12.350,4.279
12.360,3.939
12.370,4.336
12.380,4.013
12.390,4.456
12.400,4.738
12.410,4.457
12.420,4.387
12.430,4.344
12.440,4.546
12.450,4.358
12.460,3.931
12.470,4.322
12.480,4.751
12.490,3.579
12.500,4.821
12.510,4.073
12.520,4.630
12.530,4.608
12.540,4.519
12.550,4.747
12.560,4.297
12.570,3.672
12.580,4.595
12.590,3.616
12.600,4.166
12.610,3.900
12.620,3.907
12.630,4.006
12.640,4.260
12.650,4.215
12.660,3.900
12.670,4.844
12.680,4.018
12.690,3.787
12.700,4.632
12.710,4.198
12.720,4.690
12.730,4.204
12.740,4.577
12.750,4.772
12.760,4.613
12.770,4.181
12.780,4.594
12.790,4.552
12.800,4.222
12.810,4.075
12.820,4.498
12.830,4.680
12.840,4.721
12.850,4.169
12.860,4.809
12.870,4.733
12.880,4.586
12.890,4.342
12.900,4.037
12.910,4.183
12.920,4.195
12.930,4.179
12.940,4.357
12.950,3.996
12.960,4.532
12.970,4.297
12.980,4.662
12.990,4.691
13.000,4.443
13.010,4.126
13.020,3.760
13.030,4.177
13.040,4.484
13.050,4.520
13.060,4.199
13.070,4.388
13.080,4.695
13.090,3.954
13.100,4.253
13.110,4.591
13.120,4.662
13.130,4.576
13.140,4.503
13.150,4.128
13.160,4.197
13.170,4.019
13.180,4.258
13.190,3.571
13.200,3.760
13.210,3.794
13.220,4.419
13.230,4.223
13.240,4.535
13.250,4.179
13.260,3.644
13.270,4.207
13.280,4.091
13.290,4.029
13.300,4.065
13.310,4.437
13.320,4.603
13.330,4.543
13.340,4.437
13.350,3.918
13.360,3.299
13.370,4.226
13.380,4.601
13.390,4.261
13.400,4.605
13.410,4.041
13.420,4.240
13.430,4.517
13.440,4.622
13.450,4.342
13.460,4.453
13.470,3.968
13.480,4.718
13.490,4.059
13.500,4.848
13.510,4.203
13.520,4.626
13.530,4.743
13.540,4.385
13.550,4.419
13.560,4.975
13.570,4.773
13.580,4.323
13.590,4.379
13.600,4.822
13.610,4.705
13.620,4.866
13.630,4.455
13.640,4.695
13.650,4.425
13.660,4.412
13.670,4.201
13.680,4.453
13.690,4.620
13.700,4.513
13.710,4.102
13.720,4.215
13.730,4.354
13.740,3.735
13.750,4.406
13.760,4.417
13.770,3.924
13.780,4.384
13.790,4.153
13.800,4.183
13.810,4.281
13.820,4.231
13.830,4.127
13.840,4.334
13.850,4.160
13.860,4.852
13.870,4.820
13.880,4.543
13.890,4.235
13.900,4.210
13.910,4.377
13.920,3.908
13.930,4.242
13.940,4.389
13.950,4.508
13.960,4.502
13.970,4.090
13.980,4.076
13.990,4.460
14.000,3.978
14.010,3.830
14.020,4.137
14.030,4.298
14.040,4.049
14.050,4.408
14.060,3.793
14.070,3.943
14.080,4.061
14.090,3.939
14.100,4.355
14.110,4.145
14.120,4.305
14.130,3.703
14.140,3.955
14.150,4.155
14.160,4.154
14.170,4.365
14.180,4.111
14.190,3.913
14.200,4.007
14.210,4.093
14.220,3.958
14.230,4.034
14.240,4.163
14.250,4.111
14.260,4.148
14.270,3.965
14.280,4.728
14.290,3.986
14.300,3.926
14.310,4.425
14.320,3.881
14.330,4.118
14.340,3.971
14.350,4.820
14.360,3.859
14.370,4.014
14.380,4.151
14.390,3.871
14.400,4.175
14.410,4.090
14.420,3.734
14.430,4.341
14.440,4.372
14.450,4.449
14.460,4.352
14.470,4.376
14.480,4.428
14.490,3.969
14.500,4.269
14.510,4.429
14.520,4.167
14.530,3.721
14.540,4.249
14.550,4.289
14.560,4.221
14.570,3.962
14.580,4.021
14.590,3.659
14.600,4.196
14.610,4.123
14.620,3.890
14.630,3.916
14.640,3.897
14.650,4.239
14.660,3.771
14.670,3.932
14.680,4.208
14.690,4.610
14.700,4.464
14.710,4.538
14.720,4.676
14.730,4.368
14.740,4.534
14.750,4.456
14.760,4.649
14.770,4.264
14.780,4.277
14.790,4.715
14.800,4.475
14.810,4.125
14.820,4.515
14.830,4.496
14.840,3.935
14.850,4.371
14.860,4.605
14.870,3.942
14.880,4.418
14.890,4.056
14.900,4.828
14.910,4.483
14.920,3.797
14.930,4.556
14.940,3.623
14.950,4.518
14.960,4.845
14.970,4.125
14.980,4.598
14.990,3.649
15.000,4.165
15.010,4.300
15.020,3.935
15.030,4.656
15.040,4.819
15.050,4.876
15.060,4.596
15.070,4.629
15.080,4.719
15.090,4.544
15.100,4.221
15.110,4.527
15.120,4.381
15.130,4.280
15.140,4.197
15.150,4.322
15.160,4.310
15.170,4.427
15.180,4.284
15.190,4.133
15.200,3.985
15.210,4.114
15.220,4.733
15.230,4.186
15.240,4.377
15.250,4.338
15.260,4.030
15.270,4.142
15.280,4.220
15.290,4.027
15.300,4.199
15.310,4.046
15.320,4.621
15.330,4.239
15.340,4.086
15.350,3.970
15.360,4.297
15.370,4.565
15.380,4.370
15.390,3.964
15.400,4.236
15.410,4.181
15.420,4.127
15.430,4.384
15.440,4.049
15.450,4.705
15.460,4.564
15.470,4.638
15.480,4.227
15.490,3.820
15.500,4.252
15.510,4.395
15.520,3.872
15.530,3.949
15.540,4.138
15.550,4.076
15.560,3.946
15.570,3.653
15.580,3.760
15.590,3.708
15.600,4.043
15.610,3.561
15.620,3.372
15.630,3.807
15.640,3.859
15.650,3.957
15.660,4.021
15.670,3.910
15.680,4.193
15.690,4.164
15.700,4.208
15.710,3.848
15.720,4.202
15.730,3.982
15.740,4.283
15.750,3.984
15.760,4.579
15.770,3.644
15.780,4.108
15.790,3.535
15.800,3.772
15.810,4.047
15.820,4.611
15.830,4.095
15.840,3.827
15.850,4.086
15.860,4.059
15.870,3.976
15.880,4.386
15.890,3.257
15.900,4.110
15.910,4.247
15.920,4.003
15.930,4.261
15.940,3.932
15.950,4.543
15.960,4.004
15.970,3.900
15.980,4.060
15.990,4.052
16.000,3.861
16.010,3.298
16.020,4.317
16.030,4.297
16.040,4.204
16.050,4.022
16.060,3.563
16.070,4.374
16.080,4.200
16.090,3.856
16.100,4.140
16.110,4.074
16.120,3.780
16.130,4.636
16.140,4.082
16.150,4.428
16.160,3.998
16.170,3.893
16.180,4.534
16.190,4.362
16.200,3.868
16.210,4.269
16.220,4.168
16.230,4.152
16.240,4.721
16.250,4.095
16.260,4.317
16.270,3.711
16.280,4.672
16.290,4.119
16.300,4.267
16.310,4.623
16.320,3.938
16.330,3.697
16.340,4.514
16.350,4.322
16.360,4.041
16.370,4.009
16.380,3.613
16.390,3.653
16.400,3.730
16.410,4.154
16.420,3.762
16.430,3.573
16.440,4.087
16.450,4.109
16.460,4.333
16.470,3.984
16.480,4.165
16.490,4.213
16.500,4.568
16.510,4.118
16.520,4.294
16.530,4.189
16.540,3.958
16.550,3.448
16.560,4.588
16.570,3.959
16.580,4.230
16.590,4.114
16.600,3.999
16.610,4.559
16.620,4.551
16.630,4.352
16.640,4.363
16.650,4.120
16.660,4.145
16.670,4.086
16.680,4.633
16.690,4.570
16.700,4.425
16.710,4.445
16.720,4.332
16.730,4.354
16.740,4.486
16.750,4.340
16.760,4.423
16.770,4.098
16.780,4.818
16.790,4.417
16.800,4.570
16.810,4.220
16.820,4.244
16.830,4.752
16.840,4.128
16.850,4.027
16.860,3.904
16.870,4.198
16.880,4.015
16.890,4.075
16.900,3.689
16.910,4.265
16.920,4.622
16.930,4.059
16.940,4.543
16.950,3.986
16.960,4.452
16.970,4.166
16.980,4.110
16.990,4.104
17.000,4.148
17.010,3.707
17.020,4.016
17.030,4.421
17.040,4.712
17.050,4.483
17.060,4.278
17.070,4.163
17.080,4.050
17.090,3.916
17.100,4.591
17.110,4.058
17.120,4.451
17.130,4.442
17.140,3.795
17.150,4.200
17.160,3.975
17.170,3.998
17.180,4.305
17.190,4.564
17.200,4.427
17.210,3.963
17.220,4.641
17.230,4.191
17.240,3.971
17.250,4.356
17.260,4.290
17.270,4.456
17.280,4.705
17.290,4.381
17.300,4.205
17.310,4.544
17.320,4.769
17.330,4.271
17.340,3.962
17.350,4.198
17.360,4.154
17.370,3.969
17.380,4.413
17.390,4.678
17.400,4.633
17.410,4.545
17.420,4.046
17.430,4.426
